Tweet Link,Author Handle,Tweet Content,Views,Likes,Retweets,Replies,Tweet Creation Date,Scraped Date
https://x.com/TheBirmingham6/status/2041677169680633963,TheBirmingham6,New top level trolling original series Iranian LEGO movie just published and each time they deliver higher quality ,54579,1913,682,28,2026-04-08T00:39:04+00:00,2026-04-09T17:43:07.267874+00:00
https://x.com/bibishalom330/status/2041585533625745563,bibishalom330,"New LEGO-style animation. Out tonight.

Blackout!",43161,2664,645,58,2026-04-07T18:34:56+00:00,2026-04-09T17:40:07.226787+00:00
https://x.com/JeSuis34C/status/2041462203706950001,JeSuis34C,"NEW VIDEO: URANIUM HEIST AT NIGHT

Lego-style music video that exposes the failed attack against Iran's enriched uranium.",5828,675,441,3,2026-04-07T10:24:52+00:00,2026-04-09T17:40:07.226787+00:00
https://x.com/txemasg/status/2042020050719092836,txemasg,"NEW : Lego Style Video from Explosive Media in Iran Promising a Response to Lebanon from Iran 

Captioned: 
Your blood is our blood  
Your children are our children  
We will never abandon Lebanon  
Wait just a little...",68078,1597,633,26,2026-04-08T23:21:33+00:00,2026-04-09T17:39:37.310741+00:00
https://x.com/Soureh_design2/status/2042005752173178992,Soureh_design2,"Iran's Explosive Media Team Puts Out Message to Lebanon in a New Lego Short

Captioned: We shall not abandon Lebanon Wait a little...",117490,2244,691,23,2026-04-08T22:24:44+00:00,2026-04-09T17:39:37.310741+00:00
https://x.com/TheBirmingham6/status/2041740964343992739,TheBirmingham6," NEW Lego Style Music Video from Iran via PersiaBoi Studios

They are SO FAST and the Music is Good

Titled: Taco Tuesday Backpedal

TACO stands for Trump Always Chickens Out.",677816,9543,3891,168,2026-04-08T04:52:34+00:00,2026-04-09T17:39:37.310741+00:00
https://x.com/TheBirmingham6/status/2041676985164849560,TheBirmingham6," NEW Lego Style Video from Iran

Titled: Trump Surrendered. IRAN WON. TACO will always remain TACO.

TACO means Trump Always Chickens Out",298313,8629,2994,119,2026-04-08T00:38:20+00:00,2026-04-09T17:39:37.310741+00:00
https://x.com/TheBirmingham6/status/2041665521125363881,TheBirmingham6,"Trump has agreed to all 10 of Iran’s conditions. and he only had one demand of his own:
That Explosive Media stops calling him a Loser.

So we officially announce that we will no longer call Trump a Loser, and giving him a new title:
from now on, he’s TACO.",32462,3413,707,189,2026-04-07T23:52:47+00:00,2026-04-09T17:39:37.310741+00:00
https://x.com/txemasg/status/2041649688999260176,txemasg,"It looks like Trump has accepted all ten of Iran’s conditions to end the war.

He’s also apparently going to negotiate with Iran just to get Explosive Media to stop trolling him and calling him a L.O.S.E.R.",30670,2397,444,127,2026-04-07T22:49:52+00:00,2026-04-09T17:39:37.310741+00:00
https://x.com/ExplosiveMediaa/status/2041974378284347597,ExplosiveMediaa,"We have no knowledge of any cryptocurrency created in our name and are not associated with it in any way.
Please obtain all information about Explosive Media only through our official page.",11732,840,176,19,2026-04-08T20:20:04+00:00,2026-04-09T17:38:37.219558+00:00
